Data Point Listing of File E:\testdata\LiCl_ref1.tnt
Starting Point:	1	Ending Point:	8192
Real	Imag	usec
-74.000	-4.000	10650.000
-71.000	-6.000	10700.000
-70.000	-4.000	10750.000
-62.000	-2.000	10800.000
-74.000	-2.000	10850.000
-68.000	-4.000	10900.000
-72.000	-4.000	10950.000
-67.000	-3.000	11000.000
-66.000	-5.000	11050.000
-71.000	1.000	11100.000
-68.000	-5.000	11150.000
-62.000	-2.000	11200.000
-63.000	-9.000	11250.000
-61.000	-4.000	11300.000
-61.000	-4.000	11350.000
-61.000	-4.000	11400.000
-59.000	-6.000	11450.000
-60.000	-6.000	11500.000
-62.000	0.000	11550.000
-59.000	-5.000	11600.000
-64.000	-5.000	11650.000
-61.000	-3.000	11700.000
-61.000	-8.000	11750.000
-59.000	-7.000	11800.000
-58.000	-3.000	11850.000
-60.000	-6.000	11900.000
-60.000	-7.000	11950.000
-55.000	-3.000	12000.000
-62.000	-6.000	12050.000
-56.000	-5.000	12100.000
-52.000	-2.000	12150.000
-57.000	-4.000	12200.000
-54.000	-8.000	12250.000
-54.000	-9.000	12300.000
-52.000	-6.000	12350.000
-58.000	-9.000	12400.000
-53.000	-9.000	12450.000
-52.000	-7.000	12500.000
-55.000	-3.000	12550.000
-49.000	-4.000	12600.000
-53.000	-5.000	12650.000
-50.000	-9.000	12700.000
-53.000	-1.000	12750.000
-51.000	-5.000	12800.000
-57.000	-2.000	12850.000
-45.000	-3.000	12900.000
-53.000	0.000	12950.000
-54.000	-2.000	13000.000
-48.000	-8.000	13050.000
-45.000	-5.000	13100.000
-44.000	1.000	13150.000
-48.000	-4.000	13200.000
-48.000	0.000	13250.000
-52.000	-6.000	13300.000
-45.000	-6.000	13350.000
-48.000	2.000	13400.000
-40.000	-5.000	13450.000
-46.000	1.000	13500.000
-51.000	-6.000	13550.000
-42.000	-3.000	13600.000
-46.000	-3.000	13650.000
-46.000	-1.000	13700.000
-41.000	-3.000	13750.000
-43.000	0.000	13800.000
-37.000	1.000	13850.000
-45.000	-6.000	13900.000
-46.000	3.000	13950.000
-35.000	4.000	14000.000
-37.000	-3.000	14050.000
-44.000	-1.000	14100.000
-37.000	-9.000	14150.000
-34.000	-5.000	14200.000
-40.000	5.000	14250.000
-34.000	2.000	14300.000
-30.000	4.000	14350.000
-33.000	3.000	14400.000
-33.000	-2.000	14450.000
-32.000	1.000	14500.000
-30.000	0.000	14550.000
-33.000	-2.000	14600.000
-36.000	-5.000	14650.000
-37.000	0.000	14700.000
-29.000	1.000	14750.000
-33.000	-5.000	14800.000
-32.000	2.000	14850.000
-36.000	-2.000	14900.000
-37.000	-3.000	14950.000
-37.000	-5.000	15000.000
-32.000	5.000	15050.000
-31.000	-5.000	15100.000
-27.000	-4.000	15150.000
-34.000	5.000	15200.000
-26.000	7.000	15250.000
-29.000	1.000	15300.000
-28.000	-5.000	15350.000
-25.000	-6.000	15400.000
-28.000	-1.000	15450.000
-27.000	-6.000	15500.000
-28.000	3.000	15550.000
-28.000	8.000	15600.000
-28.000	0.000	15650.000
-23.000	-1.000	15700.000
-25.000	-1.000	15750.000
-23.000	-2.000	15800.000
-30.000	1.000	15850.000
-28.000	3.000	15900.000
-22.000	-5.000	15950.000
-23.000	1.000	16000.000
-28.000	-2.000	16050.000
-27.000	-6.000	16100.000
-27.000	-7.000	16150.000
-22.000	-2.000	16200.000
-17.000	-4.000	16250.000
-24.000	0.000	16300.000
-24.000	-1.000	16350.000
-25.000	0.000	16400.000
-24.000	0.000	16450.000
-23.000	1.000	16500.000
-20.000	-6.000	16550.000
-19.000	-8.000	16600.000
-21.000	-3.000	16650.000
-19.000	2.000	16700.000
-17.000	-2.000	16750.000
-15.000	-7.000	16800.000
-24.000	1.000	16850.000
-19.000	0.000	16900.000
-16.000	1.000	16950.000
-25.000	-6.000	17000.000
-23.000	1.000	17050.000
-20.000	-4.000	17100.000
-11.000	-4.000	17150.000
-14.000	-2.000	17200.000
-17.000	-7.000	17250.000
-15.000	-4.000	17300.000
-19.000	-2.000	17350.000
-15.000	-3.000	17400.000
-17.000	-7.000	17450.000
-13.000	-7.000	17500.000
-12.000	-6.000	17550.000
-14.000	-5.000	17600.000
-13.000	-7.000	17650.000
-15.000	-6.000	17700.000
-17.000	-6.000	17750.000
-13.000	-4.000	17800.000
-15.000	-3.000	17850.000
-12.000	-7.000	17900.000
-14.000	0.000	17950.000
-15.000	-5.000	18000.000
-12.000	-7.000	18050.000
-15.000	-3.000	18100.000
-9.000	-8.000	18150.000
-18.000	-4.000	18200.000
-14.000	-3.000	18250.000
-10.000	-3.000	18300.000
-8.000	-1.000	18350.000
-14.000	-6.000	18400.000
-16.000	-4.000	18450.000
-10.000	-7.000	18500.000
-15.000	-7.000	18550.000
-13.000	-8.000	18600.000
-11.000	-5.000	18650.000
-12.000	-8.000	18700.000
-11.000	-9.000	18750.000
-12.000	-8.000	18800.000
-10.000	-5.000	18850.000
-12.000	-7.000	18900.000
-10.000	-6.000	18950.000
-11.000	-7.000	19000.000
-9.000	-8.000	19050.000
-9.000	-9.000	19100.000
-13.000	-4.000	19150.000
-7.000	-9.000	19200.000
-4.000	-7.000	19250.000
-15.000	-7.000	19300.000
-12.000	-4.000	19350.000
-11.000	-6.000	19400.000
-14.000	-9.000	19450.000
-8.000	-10.000	19500.000
-6.000	-6.000	19550.000
-13.000	-11.000	19600.000
-11.000	-6.000	19650.000
-3.000	-8.000	19700.000
-6.000	-10.000	19750.000
-10.000	-8.000	19800.000
-7.000	-10.000	19850.000
-12.000	-12.000	19900.000
-7.000	-9.000	19950.000
-6.000	-10.000	20000.000
-5.000	-11.000	20050.000
-12.000	-9.000	20100.000
-3.000	-4.000	20150.000
-4.000	-6.000	20200.000
-8.000	-12.000	20250.000
-15.000	-11.000	20300.000
-9.000	-14.000	20350.000
-4.000	-12.000	20400.000
-4.000	-8.000	20450.000
-4.000	-6.000	20500.000
-2.000	-7.000	20550.000
-3.000	-11.000	20600.000
-8.000	-5.000	20650.000
-8.000	-9.000	20700.000
-3.000	-17.000	20750.000
0.000	-7.000	20800.000
-7.000	-7.000	20850.000
-3.000	-11.000	20900.000
1.000	-12.000	20950.000
-3.000	-11.000	21000.000
-2.000	-11.000	21050.000
-7.000	-12.000	21100.000
-2.000	-10.000	21150.000
-2.000	-9.000	21200.000
-3.000	-5.000	21250.000
-3.000	-7.000	21300.000
-4.000	-5.000	21350.000
-1.000	-10.000	21400.000
2.000	-12.000	21450.000
-4.000	-7.000	21500.000
-4.000	-9.000	21550.000
-8.000	-12.000	21600.000
-1.000	-8.000	21650.000
2.000	-10.000	21700.000
-5.000	-12.000	21750.000
-5.000	-9.000	21800.000
0.000	-11.000	21850.000
-5.000	-10.000	21900.000
-7.000	-10.000	21950.000
0.000	-7.000	22000.000
-1.000	-12.000	22050.000
0.000	-5.000	22100.000
0.000	-11.000	22150.000
2.000	-11.000	22200.000
1.000	-15.000	22250.000
-2.000	-9.000	22300.000
5.000	-11.000	22350.000
0.000	-16.000	22400.000
-4.000	-12.000	22450.000
0.000	-9.000	22500.000
-4.000	-12.000	22550.000
0.000	-14.000	22600.000
0.000	-12.000	22650.000
0.000	-13.000	22700.000
-5.000	-12.000	22750.000
-6.000	-13.000	22800.000
-4.000	-13.000	22850.000
-4.000	-14.000	22900.000
0.000	-14.000	22950.000
-3.000	-16.000	23000.000
-5.000	-13.000	23050.000
2.000	-11.000	23100.000
1.000	-15.000	23150.000
3.000	-15.000	23200.000
0.000	-10.000	23250.000
-1.000	-17.000	23300.000
4.000	-16.000	23350.000
-2.000	-12.000	23400.000
1.000	-9.000	23450.000
2.000	-20.000	23500.000
-4.000	-17.000	23550.000
2.000	-11.000	23600.000
5.000	-11.000	23650.000
0.000	-15.000	23700.000
4.000	-13.000	23750.000
1.000	-12.000	23800.000
-1.000	-18.000	23850.000
1.000	-11.000	23900.000
1.000	-7.000	23950.000
2.000	-11.000	24000.000
-2.000	-15.000	24050.000
1.000	-13.000	24100.000
3.000	-14.000	24150.000
3.000	-16.000	24200.000
0.000	-16.000	24250.000
-2.000	-17.000	24300.000
3.000	-15.000	24350.000
-1.000	-21.000	24400.000
3.000	-12.000	24450.000
1.000	-23.000	24500.000
-1.000	-22.000	24550.000
0.000	-12.000	24600.000
-3.000	-16.000	24650.000
-4.000	-17.000	24700.000
2.000	-18.000	24750.000
-1.000	-18.000	24800.000
-3.000	-14.000	24850.000
7.000	-15.000	24900.000
3.000	-13.000	24950.000
3.000	-12.000	25000.000
3.000	-16.000	25050.000
3.000	-22.000	25100.000
-2.000	-13.000	25150.000
3.000	-15.000	25200.000
0.000	-16.000	25250.000
0.000	-13.000	25300.000
-1.000	-11.000	25350.000
2.000	-15.000	25400.000
-1.000	-16.000	25450.000
-6.000	-18.000	25500.000
1.000	-13.000	25550.000
2.000	-16.000	25600.000
1.000	-17.000	25650.000
-5.000	-16.000	25700.000
2.000	-15.000	25750.000
1.000	-26.000	25800.000
2.000	-19.000	25850.000
5.000	-16.000	25900.000
1.000	-14.000	25950.000
8.000	-7.000	26000.000
5.000	-23.000	26050.000
7.000	-16.000	26100.000
0.000	-11.000	26150.000
6.000	-12.000	26200.000
1.000	-15.000	26250.000
2.000	-16.000	26300.000
2.000	-16.000	26350.000
7.000	-20.000	26400.000
0.000	-21.000	26450.000
-1.000	-12.000	26500.000
4.000	-15.000	26550.000
2.000	-20.000	26600.000
6.000	-18.000	26650.000
3.000	-24.000	26700.000
-1.000	-22.000	26750.000
-3.000	-18.000	26800.000
1.000	-13.000	26850.000
6.000	-15.000	26900.000
5.000	-16.000	26950.000
5.000	-11.000	27000.000
2.000	-10.000	27050.000
-1.000	-14.000	27100.000
3.000	-16.000	27150.000
-1.000	-11.000	27200.000
5.000	-16.000	27250.000
3.000	-11.000	27300.000
1.000	-12.000	27350.000
6.000	-17.000	27400.000
1.000	-13.000	27450.000
1.000	-14.000	27500.000
4.000	-18.000	27550.000
2.000	-13.000	27600.000
1.000	-13.000	27650.000
1.000	-13.000	27700.000
0.000	-16.000	27750.000
1.000	-17.000	27800.000
2.000	-15.000	27850.000
0.000	-11.000	27900.000
-2.000	-10.000	27950.000
3.000	-21.000	28000.000
-2.000	-15.000	28050.000
2.000	-17.000	28100.000
4.000	-15.000	28150.000
-2.000	-16.000	28200.000
2.000	-16.000	28250.000
5.000	-12.000	28300.000
3.000	-18.000	28350.000
7.000	-20.000	28400.000
3.000	-11.000	28450.000
1.000	-12.000	28500.000
6.000	-14.000	28550.000
6.000	-15.000	28600.000
2.000	-16.000	28650.000
-1.000	-16.000	28700.000
0.000	-16.000	28750.000
1.000	-15.000	28800.000
6.000	-18.000	28850.000
11.000	-13.000	28900.000
5.000	-16.000	28950.000
7.000	-22.000	29000.000
8.000	-16.000	29050.000
2.000	-16.000	29100.000
1.000	-19.000	29150.000
1.000	-17.000	29200.000
6.000	-22.000	29250.000
5.000	-21.000	29300.000
6.000	-23.000	29350.000
7.000	-16.000	29400.000
0.000	-22.000	29450.000
5.000	-17.000	29500.000
-6.000	-15.000	29550.000
-1.000	-15.000	29600.000
5.000	-11.000	29650.000
0.000	-13.000	29700.000
5.000	-14.000	29750.000
2.000	-18.000	29800.000
2.000	-16.000	29850.000
4.000	-21.000	29900.000
8.000	-14.000	29950.000
7.000	-19.000	30000.000
7.000	-17.000	30050.000
10.000	-13.000	30100.000
-2.000	-9.000	30150.000
4.000	-17.000	30200.000
8.000	-21.000	30250.000
4.000	-11.000	30300.000
-1.000	-15.000	30350.000
6.000	-18.000	30400.000
5.000	-17.000	30450.000
8.000	-18.000	30500.000
5.000	-18.000	30550.000
6.000	-18.000	30600.000
1.000	-15.000	30650.000
5.000	-13.000	30700.000
5.000	-16.000	30750.000
-3.000	-17.000	30800.000
2.000	-20.000	30850.000
5.000	-12.000	30900.000
4.000	-16.000	30950.000
5.000	-19.000	31000.000
4.000	-13.000	31050.000
4.000	-14.000	31100.000
3.000	-24.000	31150.000
3.000	-17.000	31200.000
2.000	-13.000	31250.000
2.000	-12.000	31300.000
6.000	-15.000	31350.000
1.000	-15.000	31400.000
4.000	-21.000	31450.000
4.000	-19.000	31500.000
5.000	-13.000	31550.000
9.000	-11.000	31600.000
3.000	-17.000	31650.000
3.000	-20.000	31700.000
8.000	-15.000	31750.000
6.000	-10.000	31800.000
6.000	-16.000	31850.000
4.000	-18.000	31900.000
6.000	-15.000	31950.000
5.000	-14.000	32000.000
-1.000	-15.000	32050.000
1.000	-18.000	32100.000
3.000	-17.000	32150.000
-1.000	-15.000	32200.000
5.000	-17.000	32250.000
-1.000	-16.000	32300.000
2.000	-15.000	32350.000
4.000	-14.000	32400.000
1.000	-14.000	32450.000
4.000	-21.000	32500.000
2.000	-13.000	32550.000
1.000	-12.000	32600.000
0.000	-13.000	32650.000
3.000	-17.000	32700.000
1.000	-17.000	32750.000
-1.000	-15.000	32800.000
0.000	-13.000	32850.000
10.000	-15.000	32900.000
1.000	-18.000	32950.000
-1.000	-16.000	33000.000
0.000	-16.000	33050.000
0.000	-17.000	33100.000
4.000	-17.000	33150.000
5.000	-14.000	33200.000
3.000	-16.000	33250.000
4.000	-14.000	33300.000
1.000	-12.000	33350.000
-2.000	-16.000	33400.000
5.000	-12.000	33450.000
6.000	-10.000	33500.000
-3.000	-11.000	33550.000
7.000	-8.000	33600.000
6.000	-12.000	33650.000
0.000	-15.000	33700.000
3.000	-19.000	33750.000
5.000	-12.000	33800.000
7.000	-13.000	33850.000
6.000	-20.000	33900.000
0.000	-15.000	33950.000
2.000	-6.000	34000.000
5.000	-12.000	34050.000
-3.000	-18.000	34100.000
4.000	-14.000	34150.000
3.000	-14.000	34200.000
3.000	-12.000	34250.000
